,idno,ppltrst,happy,health,cgtsday,alcfreq,height,weight,gndr,yrbrn
751,935780,5,9,Very good,,Once a week,169.0,70.0,Female,1975
753,935829,8,9,Good,,2-3 times a month,175.0,60.0,Female,1980
754,935845,7,Extremely happy,Very good,,Less than once a month,167.0,92.0,Female,1980
755,935853,8,8,Good,,2-3 times a month,173.0,95.0,Male,1945
756,935879,7,8,Very good,,Several times a week,173.0,69.0,Male,1984
757,935887,7,9,Very good,1.0,Less than once a month,173.0,68.0,Female,1969
763,935984,8,7,Good,20.0,Several times a week,183.0,81.0,Male,1972
767,936053,8,9,Good,3.0,Several times a week,183.0,94.0,Male,1979
768,936079,5,7,Fair,,2-3 times a month,172.0,85.0,Female,1962
769,936087,8,7,Good,,Several times a week,177.0,61.0,Female,1973
771,936100,8,Extremely happy,Very good,,Less than once a month,160.0,62.0,Female,1983
772,936118,Most people can be trusted,9,Very good,,Several times a week,170.0,82.0,Female,1971
774,936150,8,9,Very good,,Several times a week,182.0,73.0,Male,1955
775,936184,9,9,Good,,Several times a week,183.0,83.0,Male,1968
776,936207,8,8,Good,,Once a month,168.0,63.0,Female,1984
779,936273,7,7,Very good,,Several times a week,176.0,70.0,Female,1966
782,936312,3,Extremely happy,Fair,,Several times a week,162.0,64.0,Female,1951
783,936320,6,Extremely happy,Very good,20.0,Less than once a month,175.0,74.0,Male,1983
784,936346,6,9,Very good,,Once a month,186.0,80.0,Male,1993
